image_path,annotation
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x76316_y117289_side1536.jpg,0 530 515 1006 1022;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x76453_y105285_side1536.jpg,0 438 488 1099 1048;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x77613_y116054_side1536.jpg,0 573 396 964 1140;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x77737_y107192_side1536.jpg,0 430 414 1106 1122;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x78406_y105009_side1536.jpg,0 585 664 952 872;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x79468_y117009_side1536.jpg,0 510 572 1027 964;
E:\wei\glandular1536_20211217\images\02.mrxs_x1728_y101313_side1536.jpg,0 449 492 1088 1044;
E:\wei\glandular1536_20211217\images\02.mrxs_x2396_y119805_side1536.jpg,0 436 418 1100 1118;
E:\wei\glandular1536_20211217\images\02.mrxs_x2692_y121658_side1536.jpg,0 525 507 1012 1029;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x9472_y85296_side1536.jpg,0 592 520 944 1017;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x10994_y132172_side1536.jpg,0 342 397 1195 1139;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x470_y82977_side1536.jpg,0 674 655 862 882;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x11663_y118244_side1536.jpg,0 589 627 948 910;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x11882_y128420_side1536.jpg,0 639 593 897 944;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x12558_y125942_side1536.jpg,0 671 678 866 858;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x12774_y99770_side1536.jpg,0 515 647 1021 889;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x12983_y87192_side1536.jpg,0 492 517 1044 1019;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x13387_y121755_side1536.jpg,0 699 641 837 896;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x13738_y68941_side1536.jpg,0 614 567 923 970;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x14725_y132246_side1536.jpg,0 592 574 945 962;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x14968_y84541_side1536.jpg,0 567 623 969 913;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x16721_y69475_side1536.jpg,0 612 612 925 924;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x18151_y87838_side1536.jpg,0 685 621 852 916;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x19531_y122289_side1536.jpg,0 567 564 970 972;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x19873_y106480_side1536.jpg,0 629 615 908 921;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x20505_y137743_side1536.jpg,0 651 643 885 894;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x23590_y139162_side1536.jpg,0 671 607 865 929;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x23811_y60735_side1536.jpg,0 623 606 914 931;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x24813_y108557_side1536.jpg,0 687 643 850 894;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x25299_y125882_side1536.jpg,0 611 629 925 908;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x25916_y130743_side1536.jpg,0 655 619 881 918;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x26002_y128833_side1536.jpg,0 649 524 887 1013;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x26609_y89927_side1536.jpg,0 423 724 668 982;0 811 230 1171 1139;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x27238_y116535_side1536.jpg,0 627 648 910 888;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x28146_y121454_side1536.jpg,0 336 62 1200 1475;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x28389_y79981_side1536.jpg,0 646 664 891 873;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x29417_y114949_side1536.jpg,0 523 565 1014 971;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x29799_y107355_side1536.jpg,0 678 669 859 868;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x33167_y140412_side1536.jpg,0 570 527 966 1010;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x33286_y76732_side1536.jpg,0 604 569 932 968;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x33303_y127164_side1536.jpg,0 637 636 900 901;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x33405_y90681_side1536.jpg,0 531 629 1006 907;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x33690_y83197_side1536.jpg,0 646 614 891 922;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x37629_y61172_side1536.jpg,0 546 635 991 901;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x38493_y135125_side1536.jpg,0 595 605 941 932;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x38486_y142723_side1536.jpg,0 543 557 993 979;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x38677_y125423_side1536.jpg,0 576 597 960 939;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x39977_y62260_side1536.jpg,0 668 658 868 878;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x40546_y124089_side1536.jpg,0 620 552 917 984;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x40706_y143403_side1536.jpg,0 652 606 885 931;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x42943_y122933_side1536.jpg,0 588 647 948 890;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x46740_y107782_side1536.jpg,0 479 529 1057 1007;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x46933_y61188_side1536.jpg,0 590 570 946 967;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x47005_y128547_side1536.jpg,0 693 654 843 883;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x49389_y72976_side1536.jpg,0 559 578 978 958;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x49606_y88656_side1536.jpg,0 567 570 969 967;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x50436_y82693_side1536.jpg,0 653 618 884 918;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x4715_y111179_side1536.jpg,0 676 681 860 855;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x54317_y122622_side1536.jpg,0 615 660 922 877;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x54522_y67072_side1536.jpg,0 570 463 966 1074;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x54976_y109923_side1536.jpg,0 653 648 883 888;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x55191_y92793_side1536.jpg,0 592 629 944 907;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x56339_y138285_side1536.jpg,0 421 618 1115 919;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x5025_y89112_side1536.jpg,0 650 511 809 732;0 308 698 1306 1131;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x58999_y105340_side1536.jpg,0 598 572 938 965;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x5762_y76172_side1536.jpg,0 587 520 950 1017;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x65460_y97179_side1536.jpg,0 484 561 1053 975;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x67127_y100461_side1536.jpg,0 626 617 910 920;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x67662_y74083_side1536.jpg,0 505 525 1031 1012;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x68191_y122669_side1536.jpg,0 543 554 994 983;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x69453_y102023_side1536.jpg,0 442 492 1095 1045;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x69928_y96986_side1536.jpg,0 637 588 900 949;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x79396_y114802_side1536.jpg,0 531 613 1005 923;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x80532_y104690_side1536.jpg,0 648 644 889 892;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x8378_y115912_side1536.jpg,0 691 642 845 894;
E:\wei\glandular1536_20211217\images\1104563 0893255.mrxs_x9159_y126279_side1536.jpg,0 639 601 898 935;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x9981_y132170_side1536.jpg,0 671 660 866 877;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x10714_y104939_side1536.jpg,0 627 624 909 912;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x11363_y94575_side1536.jpg,0 618 637 918 900;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x13059_y75622_side1536.jpg,0 672 650 864 886;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x13145_y110963_side1536.jpg,0 690 676 846 861;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x13375_y99189_side1536.jpg,0 249 317 1288 1219;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x13605_y115790_side1536.jpg,0 598 628 938 909;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x738_y97510_side1536.jpg,0 708 701 828 836;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x15176_y97945_side1536.jpg,0 710 702 826 834;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x15777_y108540_side1536.jpg,0 694 690 843 846;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x15926_y78118_side1536.jpg,0 702 673 835 864;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x16046_y122975_side1536.jpg,0 678 703 858 833;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x16548_y77366_side1536.jpg,0 677 659 860 878;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x16888_y90005_side1536.jpg,0 667 695 869 841;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x16922_y134534_side1536.jpg,0 713 706 824 831;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x17516_y125207_side1536.jpg,0 729 686 808 851;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x17700_y98195_side1536.jpg,0 651 616 885 920;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x17807_y132461_side1536.jpg,0 674 705 863 832;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x18263_y130415_side1536.jpg,0 705 676 832 861;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x18373_y90987_side1536.jpg,0 640 635 896 901;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x19116_y70221_side1536.jpg,0 652 654 884 883;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x19460_y77926_side1536.jpg,0 354 522 1182 1014;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x20454_y126238_side1536.jpg,0 682 673 854 864;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x22456_y126589_side1536.jpg,0 619 590 917 947;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x22491_y79228_side1536.jpg,0 678 673 858 863;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x22855_y123690_side1536.jpg,0 696 688 841 848;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x24107_y131939_side1536.jpg,0 666 619 870 918;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x24372_y94267_side1536.jpg,0 721 688 816 848;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x24694_y74127_side1536.jpg,0 592 564 945 973;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x24882_y93517_side1536.jpg,0 542 533 994 1003;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x25217_y140742_side1536.jpg,0 674 630 862 907;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x25739_y128961_side1536.jpg,0 693 691 844 846;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x25859_y77833_side1536.jpg,0 706 690 831 847;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x26287_y90536_side1536.jpg,0 702 712 835 825;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x26330_y108782_side1536.jpg,0 658 663 878 874;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x26666_y102862_side1536.jpg,0 696 718 841 819;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x26919_y139994_side1536.jpg,0 607 633 930 904;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x27769_y142057_side1536.jpg,0 702 667 834 869;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x28460_y105200_side1536.jpg,0 656 627 880 909;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x29550_y62427_side1536.jpg,0 707 708 829 828;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x29904_y106758_side1536.jpg,0 669 687 867 849;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x30122_y84202_side1536.jpg,0 571 593 965 943;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x30260_y120439_side1536.jpg,0 688 724 848 813;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x32174_y81043_side1536.jpg,0 343 450 1194 1087;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x32243_y67966_side1536.jpg,0 714 672 822 864;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x33552_y82815_side1536.jpg,0 539 486 997 1051;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x33995_y71484_side1536.jpg,0 651 660 885 877;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x2844_y102439_side1536.jpg,0 503 505 1033 1031;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x36232_y80612_side1536.jpg,0 594 533 943 1003;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x36338_y70397_side1536.jpg,0 643 630 894 906;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x42213_y121559_side1536.jpg,0 658 687 878 849;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x46756_y88136_side1536.jpg,0 614 626 922 910;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x47860_y72023_side1536.jpg,0 675 654 861 883;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x49148_y140510_side1536.jpg,0 683 696 854 840;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x51090_y73027_side1536.jpg,0 680 699 857 837;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x53907_y67196_side1536.jpg,0 506 572 1031 964;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x56111_y139855_side1536.jpg,0 611 623 926 913;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x58866_y109056_side1536.jpg,0 571 567 965 969;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x59354_y73084_side1536.jpg,0 501 580 1035 956;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x5472_y87515_side1536.jpg,0 594 667 942 870;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x5946_y86128_side1536.jpg,0 630 627 906 910;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x69367_y118962_side1536.jpg,0 662 665 874 871;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x75028_y111364_side1536.jpg,0 567 463 970 1074;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x7123_y126532_side1536.jpg,0 692 681 845 855;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x7254_y110288_side1536.jpg,0 565 581 971 956;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x7578_y86256_side1536.jpg,0 404 536 1132 1001;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x7712_y120654_side1536.jpg,0 687 709 849 827;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x8807_y118709_side1536.jpg,0 470 574 1066 962;
E:\wei\glandular1536_20211217\images\1104731 0893150.mrxs_x9126_y84044_side1536.jpg,0 630 601 906 936;
E:\wei\glandular1536_20211217\images\1107053 0893238.mrxs_x57282_y76399_side1536.jpg,0 598 649 939 888;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x9886_y75752_side1536.jpg,0 587 567 950 970;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x12198_y125003_side1536.jpg,0 687 673 849 863;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x730_y124258_side1536.jpg,0 669 639 867 897;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x23219_y116413_side1536.jpg,0 565 590 971 946;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x23719_y142728_side1536.jpg,0 627 457 910 1080;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x27790_y75456_side1536.jpg,0 678 677 859 860;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x3593_y101679_side1536.jpg,0 665 659 871 878;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x47902_y143839_side1536.jpg,0 618 614 919 923;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x60736_y65512_side1536.jpg,0 621 638 915 899;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x65789_y102622_side1536.jpg,0 677 698 860 839;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x74478_y117993_side1536.jpg,0 659 559 877 977;
E:\wei\glandular1536_20211217\images\1107384 0893190.mrxs_x78192_y97399_side1536.jpg,0 566 614 971 922;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x10175_y131229_side1536.jpg,0 476 470 1061 1067;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x18298_y102223_side1536.jpg,0 589 657 948 880;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x24622_y92472_side1536.jpg,0 509 566 1027 970;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x35522_y57206_side1536.jpg,0 355 430 1181 1107;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x39026_y60816_side1536.jpg,0 497 453 1039 1083;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x40193_y105325_side1536.jpg,0 686 658 850 879;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x48275_y97291_side1536.jpg,0 519 553 1018 983;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x56614_y93344_side1536.jpg,0 545 624 991 913;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x57753_y84319_side1536.jpg,0 346 289 1191 1248;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x58186_y106351_side1536.jpg,0 520 564 1016 972;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x60233_y116202_side1536.jpg,0 598 535 939 1002;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x62150_y72877_side1536.jpg,0 419 422 1117 1115;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x63560_y115138_side1536.jpg,0 447 606 1090 931;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x64706_y99746_side1536.jpg,0 492 369 1044 1168;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x64719_y71290_side1536.jpg,0 530 470 1006 1067;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x68268_y69178_side1536.jpg,0 691 572 845 965;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x70620_y100262_side1536.jpg,0 382 558 1155 979;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x72727_y86651_side1536.jpg,0 521 499 1016 1037;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x73000_y113127_side1536.jpg,0 629 561 908 975;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x73088_y98289_side1536.jpg,0 492 630 1045 906;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x76138_y112626_side1536.jpg,0 620 667 916 869;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x6941_y125350_side1536.jpg,0 364 516 1172 1021;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x7114_y96234_side1536.jpg,0 609 592 928 945;
E:\wei\glandular1536_20211217\images\1108967 0893131.mrxs_x175_y119022_side1536.jpg,0 577 537 960 999;
E:\wei\glandular1536_20211217\images\1109807 0893002.mrxs_x50478_y70131_side1536.jpg,0 429 526 1107 1011;
E:\wei\glandular1536_20211217\images\1109807 0893002.mrxs_x55531_y88878_side1536.jpg,0 582 580 955 957;
E:\wei\glandular1536_20211217\images\1109807 0893002.mrxs_x5755_y88347_side1536.jpg,0 567 392 970 1145;
